"","Response","Form","Type","nInd","Predictors","Fval","df","p","R2mR2c"
"1","ten","rate + set","lme","45","rate","11.39","1,171","<0.001","0.09[0.57]"
"2","","","","","set","2.34","2,42","0.11",""
"3","bF","rate + set","lme","22","rate","2.89","1,43","0.097","0.25[0.47]"
"4","","","","","set","13.35","1,20","0.0016",""
"5","atch","rate + set","lm","61","rate","0.08","1,52","0.78","0.37"
"6","","","","","set","9.9","2,52","<0.001",""
"7","adh","rate + set","glm","61","rate","1.98","1,52","0.16","0.45"
"8","","","","","set","7.84","2,52","0.0011",""
"9","adh","fp * set","glm","61","fp","3.78","1,54","0.057","0.68"
"10","","","","","set","14.68","2,54","<0.0001",""
"11","","","","","fp:set","13.03","2,54","<0.0001",""
"12","adh","btf * set","glm","61","btf","8.64","1,54","0.0048","0.52"
"13","","","","","set","7.08","2,54","0.0019",""
"14","","","","","btf:set","3.96","2,54","0.025",""
