Individual,Animal Set,Strain Rate (1/s),Tube Foot Disc Tenacity (MPa)
Spurp2023-001,CA8,0.29721509456393597,0.0756712874087955
Spurp2023-001,CA8,0.7265257867118434,0.08509011455042424
Spurp2023-001,CA8,1.122812579463758,0.08177959318316971
Spurp2023-001,CA8,1.5521232716116655,0.0910627009237612
Spurp2023-001,CA8,2.0474817625515587,0.06191568269190143
Spurp2023-001,CA8,2.3777207565114877,0.09616301390007416
Spurp2023-001,CA8,2.740983649867409,0.04635758923415517
Spurp2023-002,CA8,1.7792307584257245,0.00482922721351267
Spurp2023-002,CA8,2.0510576798518767,0.07388615715941768
Spurp2023-003,CA8,0.2364959705904122,0.08852106509655523
Spurp2023-003,CA8,0.5781012614432297,0.09663083547980957
Spurp2023-003,CA8,0.8934292222304461,0.10202539346254848
Spurp2023-003,CA8,1.2350345130832636,0.05442859836145613
Spurp2023-003,CA8,1.6291944640672842,0.04221869290813293
Spurp2023-003,CA8,1.8919677647232975,0.03992372679449624
Spurp2023-003,CA8,2.1810183954449123,0.09405769423248496
Spurp2023-004,CA8,0.19729113787389754,0.28210472609976345
Spurp2023-004,CA8,0.4822672259139718,0.0623649664947011
Spurp2023-004,CA8,0.7453220764125019,0.18821631973386657
Spurp2023-004,CA8,1.030298164452576,0.01004314101328796
Spurp2023-004,CA8,1.3591167275757388,0.17297181362420835
Spurp2023-004,CA8,1.5783291029911803,0.02548476891649438
Spurp2023-004,CA8,1.8194627159481664,0.40829555915865967
Spurp2023-005,CA8,0.19801702653069603,0.2633569380838076
Spurp2023-005,CA8,0.4840416204083681,0.25084278377336655
Spurp2023-005,CA8,0.7480643224492962,0.14289337440883285
Spurp2023-005,CA8,1.0340889163269684,0.27689531608274875
Spurp2023-005,CA8,1.3641172938781283,0.11464838657195162
Spurp2023-005,CA8,1.5841362122455682,0.14814928698217747
Spurp2023-005,CA8,1.8261570224497523,0.1309606295499765
Spurp2023-006,CA8,0.23651332976759862,0.225174939865019
Spurp2023-006,CA8,0.5781436949874633,0.14673032630013264
