Individual,Animal Set,Strain Rate (1/s),Tube Foot Stem Breaking Force (N),Tube Foot Stem Extension (m),Tube Foot Stem Initial Spring Constant (N/m),Tube Foot Stem Final Spring Constant (N/m),Tube Foot Stem Work to Failure (J)
Spurp2023-043,CA44,2.45601368265936,0.359540929,0.0374,1.142770486,25.17669266,0.010680882
Spurp2023-043,CA44,0.2663147366739065,0.393622688,0.038295,0.785478734,48.50274995,0.012402947
Spurp2023-043,CA44,1.3907547359637338,0.473235777,0.0219725,0.71563848,34.0457453,0.007584268
Spurp2023-047,CA44,3.0208301625094136,0.45479171,0.0246,0.739970084,44.72056314,0.008837454
Spurp2023-047,CA44,0.3275598971395749,0.488041925,0.020925,2.694715469,80.4031213,0.007863919
Spurp2023-047,CA44,1.7105905739511136,0.446727,0.027025,0.686785666,77.70145106,0.00897088
Spurp2023-048,CA44,2.2210556972085613,0.310742703,0.0358,0.554846219,36.20614029,0.007642194
Spurp2023-048,CA44,0.24083736475755488,0.510805113,0.0259425,0.912904745,39.94818783,0.009606722
Spurp2023-048,CA44,1.2577062381783422,0.463044361,0.035015,2.068259858,46.51700736,0.012866166
Spurp2023-049,CA44,2.214591221146945,0.368522153,0.0702,1.210635391,33.79771203,0.018828798
Spurp2023-049,CA44,0.24013639747376514,0.397001399,0.0352575,1.240115116,31.59172593,0.010477208
Spurp2023-049,CA44,1.2540456312518846,0.515246946,0.041595,3.033945358,33.82181641,0.016355207
Spurp2023-050,CA44,3.835442570023783,0.243651001,0.0302,0.409265761,20.41534754,0.004994489
Spurp2023-050,CA44,0.4158913630146271,0.325428914,0.025515,1.110391559,36.21724693,0.006531804
Spurp2023-050,CA44,2.171877117965275,0.320639927,0.032665,1.520399954,32.48960566,0.008405362
Spurp2023-051,CA44,2.3788983121286553,0.404909151,0.0438,2.473675518,25.57647042,0.011888651
Spurp2023-051,CA44,0.25795282902599875,0.496851211,0.0389475,2.850223453,30.83872762,0.014245735
Spurp2023-051,CA44,1.3470869960246603,0.350823791,0.051935,0.501068413,32.92744849,0.015310776
Spurp2023-052,CA44,1.8928093561587207,0.532772411,0.0478,2.068336733,37.6305224,0.020825575
Spurp2023-052,CA44,0.2052443880172107,0.421173763,0.041535,0.663260129,36.27648807,0.014614821
Spurp2023-052,CA44,1.071831804089878,0.537516334,0.050525,1.752717459,29.22227915,0.022875994
Spurp2023-053,CA44,2.314004242155247,0.362746798,0.0508,0.907109589,25.1394607,0.013757832
Spurp2023-053,CA44,0.25091612264334,0.414690593,0.03384,0.739386137,28.65169393,0.010760464
Spurp2023-053,CA44,1.310339751581887,0.284064666,0.0421825,0.774241426,16.33265162,0.009835693
Spurp2023-054,CA44,2.881346164928255,0.304648951,0.0222,1.311762211,19.24619132,0.003778675
Spurp2023-054,CA44,0.31243512631752157,0.459248358,0.0277425,2.212748532,36.09254983,0.007796181
Spurp2023-054,CA44,1.631605659658168,0.301331837,0.0360725,2.033318307,35.03823284,0.006283266
Spurp2023-055,CA44,2.599817323679136,0.345576731,0.042,0.41883321,40.72709497,0.012731402
Spurp2023-055,CA44,0.2819079025676172,0.492786812,0.0333,0.604433675,39.77849868,0.012832398
Spurp2023-055,CA44,1.4721857134086676,0.339663097,0.036895,1.356082777,39.67509562,0.008867313
Spurp2023-056,CA44,1.8226952348158503,0.571727963,0.039,1.528858718,81.68998209,0.019824535
Spurp2023-056,CA44,0.1976416519679838,0.38134234,0.0274725,1.996271923,29.99485927,0.006395779
Spurp2023-056,CA44,1.0321286269439156,0.245271498,0.01316,2.903678336,30.21203045,0.002136705
Spurp2024-204,WA2,1.3881827182959137,0.256304896,0.06474,0.618786512,1.502125703,0.013747581
Spurp2024-204,WA2,0.1505258369236533,0.35344789,0.0315,0.45306078,30.5527655,0.007135083
Spurp2024-204,WA2,0.7860793706013006,0.319192086,0.047,0.937697641,19.12790337,0.01197629
Spurp2024-207,WA2,2.842913609678237,0.29436701,0.03403,0.311359509,15.03425244,0.007999315
Spurp2024-207,WA2,0.3082677408084835,0.65342254,0.03618,1.188529923,30.19566407,0.016496137
Spurp2024-207,WA2,1.609842646444303,0.37993806,0.03196,0.935218769,22.88284983,0.006440064
Spurp2024-212,WA2,3.5029374029306504,0.645329127,0.0498,1.866950057,31.78028368,0.024987938
Spurp2024-212,WA2,0.37983658585995006,0.64976016,0.04221,0.603566295,30.87804038,0.019623282
Spurp2024-212,WA2,1.9835910594908504,0.7332367,0.03243,1.346227954,35.41681104,0.016081625
Spurp2024-218,WA2,2.7830402199607693,0.38438168,0.03735,0.319858755,25.00068463,0.010291164
Spurp2024-218,WA2,0.30177544553791474,0.66703369,0.03447,1.563898834,35.03066043,0.015748733
Spurp2024-218,WA2,1.5759384378091104,0.50641944,0.04324,0.95171795,34.52613047,0.016626521
Spurp2024-223,WA2,3.217977249288555,0.56261539,0.06557,0.972917665,33.82969113,0.027531525
Spurp2024-223,WA2,0.3489372920915301,0.52606578,0.05319,0.397183185,37.32332298,0.022272384
Spurp2024-223,WA2,1.8222280809224352,0.56304444,0.04606,0.449077966,40.55299881,0.02052752
Spurp2024-224,WA2,3.72983417966117,0.687899926,0.07885,0.013715432,1.051172461,0.043530297
Spurp2024-224,WA2,0.4044398508066328,0.47203555,0.03951,1.035292536,26.79636281,0.013457694
