Individual,Animal Set,Strain Rate (1/s),Maximum Adhesive Force (N),Whole Animal Adhesion (N/cm2),Footprints (1/cm2),Broken Tube Feet (1/cm2)
Spurp2023-001,CA8,0.1679457190128496,8.9,0.13690153102907848,0.8921672808636575,2.814941593069816
Spurp2023-002,CA8,1.1419889462167676,10.6,0.1386101325501596,0.6799742351517264,0.6799742351517264
Spurp2023-003,CA8,0.04631312521979892,5.7,0.07336785327362329,0.14158708526488706,1.7634027892081388
Spurp2023-004,CA8,0.05882605122061562,6.3,0.06955876938315458,0.14353396856841424,2.6056935832419814
Spurp2023-005,CA8,0.04605733671662672,33.2,0.3528783877808844,1.5411857297659106,0.956598039165048
Spurp2023-006,CA8,0.8659086423516537,4.8,0.06332702841528544,0.17151070195806473,0.6596565459925566
Spurp2023-007,CA8,0.2051266602670067,3.6,0.0309023841038357,0.01716799116879761,0
Spurp2023-008,CA8,NA,10.1,0.08796266000139882,0.38320366733282657,0.252566053469363
Spurp2023-009,CA8,NA,10.8,0.08954975816917728,0.19070781832324787,0.06633315419939056
Spurp2023-010,CA8,NA,12.4,0.11692354890953488,0.17915705074848084,0
Spurp2023-011,CA8,0.15270894130290735,5.5,0.08409761767501304,0.06116190376364585,1.5137571181502347
Spurp2023-012,CA8,0.845935964183548,15.6,0.17214516628816384,0.5738172209605461,0.4855376485050774
Spurp2023-013,CA8,0.03735203360428936,45.4,0.5143828117598938,2.526593987278773,1.2576319846992996
Spurp2023-014,CA8,0.26934558343598586,4.3,0.04482950464274556,0.03127639858796202,2.7106212109567087
Spurp2023-015,CA8,0.03024864128112194,2.6,0.02816350242724385,0.01083211631817071,0
Spurp2023-017,CA8,0.09299577031559991,15.5,0.17492114654802696,0.06771141156697817,1.3993691723842157
Spurp2023-018,CA8,NA,19.3,0.20614202289188224,0.6942606988586707,0.3097470810292531
Spurp2023-019,CA8,0.04963905414159828,9.4,0.1079648639198782,0.04594249528505455,1.6998723255470187
Spurp2023-020,CA8,0.07662187283480755,7.3,0.10515568579360972,0.01440488846487804,1.4404888464878047
Spurp2023-021,CA8,0.29512621694453317,4.5,0.06022990962902803,0,0.42830157958419934
Spurp2023-022,CA8,0.33064130012666637,10.4,0.13687614480138954,0.2237398520791944,1.7241129777867334
Spurp2023-023,CA8,0.9577902298487112,12.3,0.1313025256169672,0.37362507289380914,0.07472501457876182
Spurp2023-024,CA8,0.03477234877126653,4.3,0.05823706954476664,0,2.6680703954230296
Spurp2023-025,CA8,0.1804782339884786,4.7,0.05677325891691753,0.10871475111750166,0.04831766716333407
Spurp2023-026,CA8,0.019053317443412373,13,0.21210438983533517,1.1747320052418564,0.42420877967067033
Spurp2023-027,CA8,0.06902071556012702,8,0.07689240503616611,0,1.4321210437985936
Spurp2023-028,CA8,0.1666318294339178,8.2,0.08398276836741471,0.01024180102041642,0.06145080612249857
Spurp2023-029,CA8,2.2197200307301577,13.6,0.15556686973483427,0.5147433189755546,0.2745297701202958
Spurp2023-030,CA8,0.06364885812093596,5,0.04173700018512311,0.03338960014809848,1.085162004813201
Spurp2023-031,CA8,0.19583459118776897,14.3,0.15560703095406098,0.2393954322370169,1.7410576889964866
Spurp2023-032,CA8,1.2956855631419213,15.2,0.17602524839242875,0.7643201574934406,0.6485140730247375
Spurp2023-033,CA8,0.047498201274028436,12,0.13302608699982724,0.0110855072499856,0.7316434784990498
Spurp2023-034,CA8,0.19028604634652016,10.9,0.13659830122734165,0.16291540513352673,1.403578874996538
Spurp2023-035,CA8,2.776092771683262,20.6,0.2102833935662363,1.0820407630107305,1.2861993975410566
Spurp2023-036,CA8,0.0369454860179206,14.9,0.15920533271028395,0.5449310045788243,3.387120165715437
Spurp2023-037,CA8,0.05809347398469702,13.7,0.12959832041620914,0.1324362398413816,0.1324362398413816
Spurp2023-038,CA8,2.524749613517093,13.9,0.1330595025944557,0.5360670608121957,0.5169218086403315
Spurp2023-039,CA8,0.046025478818086406,5.6,0.07384691320115713,0.07912169271552551,0.6197865929382831
Spurp2023-040,CA8,0.34587905559696797,20.5,0.21522462958299896,0.35695792223521783,0.25197029804838905
Spurp2023-041,CA8,0.7619648498360008,14.1,0.11931972032252768,0.6685289294666444,0.23694696234260815
Spurp2023-043,CA44,0.042196090499665634,1.1,0.01089858897407826,1.159213554515597,0.16843273869030043
Spurp2023-047,CA44,0.5307926155426179,19.2,0.18407204391604431,0.7382055927883028,0.9587085620627308
Spurp2023-048,CA44,0.07391031127337407,2.3,0.03062838329382017,0.22638370260649696,0.18643363744064456
Spurp2023-049,CA44,0.03671418699154453,5.1,0.05970821446713835,1.5805115594242507,0.17561239549158342
Spurp2023-050,CA44,0.08872349077645378,4.4,0.04910872998040386,0.22322149991092663,0.3459933248619363
Spurp2023-051,CA44,2.9029438150076956,6.6,0.06383437088028962,1.0735780557139618,0.06770312063061021
Spurp2023-052,CA44,0.012770761921070888,8.3,0.08614517303697967,0.695388746202125,0.2802312857829459
Spurp2023-053,CA44,0.040759930144951446,7.1,0.09927153770603056,1.3422630450392865,0.7270591493962801
Spurp2023-054,CA44,1.1657301713047084,3.2,0.05097124671626621,1.84770769346465,0.27078474818016424
Spurp2023-055,CA44,0.10161213732548337,6.3,0.06019146603408479,0.16242141628245102,0.401276440227232
Spurp2023-056,CA44,0.0181391116139505,5.6,0.07116027151155511,0.7624314804809478,0.40663012292317213
Spurp2024-200,WA2,1.0680330905050006,20.5925,0.23074681331612665,2.7117022616245063,0.5378582998263484
Spurp2024-202,WA2,NA,11.3643,0.13290793831786218,NA,NA
Spurp2024-207,WA2,0.18496064448509011,45.44,0.292121915314448,0.2764357913406968,1.1121719046962917
Spurp2024-212,WA2,8.077858059288271,35.852,0.44432501311320965,1.3880509167878916,1.8218168282841076
Spurp2024-218,WA2,6.417757808439654,48.34,0.5704233061804119,2.0060397610812992,2.466248882741127
Spurp2024-223,WA2,0.20936237525491808,21.165,0.2515198570949133,3.802804359573459,0.21390774522600703
Spurp2024-224,WA2,3.1096930750909992,42.641,0.5158727640058112,3.0487075005151008,1.4759615677096918
Spurp2024-226,WA2,0.2386423899593424,14.065,0.136911041485961,4.107817952867085,0.09734165765087878
Spurp2024-227,WA2,2.460094564328629,43.551,0.4595303259178483,1.7726595199696564,1.582731714258622
Spurp2024-229,WA2,3.152993065237795,26.912,0.3118837165845344,1.321148323819743,0.8923545695975458
